temperature,humidity,cloudiness,wind_speed,latitude,longitude
-12.31,41,0,0.49,48.01,91.64
-1.25,26,11,5.34,40.13,124.39
27.82,77,100,0.89,-3.43,10.66
14.16,91,58,3.48,29.97,77.55
18.0,88,90,6.7,-37.83,140.77
25.49,88,90,2.2,-7.94,110.25
-14.0,35,20,3.6,58.81,-122.7
-6.55,67,20,4.1,50.03,-66.87
-8.13,90,100,5.53,51.61,109.59
23.25,83,28,1.58,5.5,-54.05
8.64,52,90,5.7,42.25,-75.83
22.96,84,15,2.72,-7.71,-38.15
-17.0,34,0,4.0,50.24,127.49
10.56,53,100,4.17,45.32,55.2
6.52,81,5,8.7,51.59,-3.0
28.27,74,46,1.94,-20.74,116.85
6.63,75,20,3.1,48.38,-4.62
21.41,98,73,0.4,-10.38,38.77
14.95,75,15,7.36,32.12,20.07
3.31,93,83,7.51,56.35,41.0
27.75,83,32,1.75,-0.88,131.25
11.0,71,75,2.6,33.73,135.98
10.08,76,90,3.6,42.6,-84.38
2.2,98,100,5.54,55.2,56.67
24.18,87,99,0.67,-14.27,50.17
12.95,77,53,3.16,29.68,75.89
5.67,84,86,5.81,43.75,-81.72
-7.54,82,87,7.55,51.1,114.53
24.44,88,0,0.45,-35.17,173.17
-6.56,67,20,4.1,50.2,-66.38
9.65,87,90,2.82,43.16,40.34
26.79,82,32,7.22,-19.9,48.8
9.98,71,90,3.6,46.42,3.91
-13.75,78,16,5.85,47.94,132.62
27.03,76,99,4.38,-22.43,-151.33
-0.75,98,91,1.74,61.81,36.53
7.83,69,95,6.31,51.08,28.4
2.79,93,39,3.1,58.08,7.82
28.4,84,69,6.3,4.75,-6.64
7.0,93,40,3.1,41.96,42.96
8.81,76,20,2.1,43.48,-8.24
20.34,71,64,2.81,27.58,81.6
19.55,99,43,1.64,-14.8,36.54
2.08,89,99,4.74,58.74,27.81
22.12,64,42,5.7,-28.65,153.62
-10.72,95,100,1.89,63.45,120.32
26.86,74,22,4.64,11.14,123.72
21.76,8,34,3.74,20.52,-13.05
24.58,96,43,2.13,-16.23,39.91
5.0,92,30,1.79,54.63,-8.45
7.91,75,54,1.0,43.05,17.65
-0.67,51,74,2.36,29.27,82.18
-17.9,89,100,6.6,62.14,117.63
-11.63,65,43,4.95,45.76,106.27
25.0,41,7,6.2,-31.95,141.43
11.02,76,75,2.1,35.13,140.3
25.39,73,0,3.1,14.69,-17.44
27.81,83,95,7.59,-0.36,42.55
21.32,52,0,5.7,-36.82,174.45
-4.0,68,90,3.6,49.78,-74.85
23.64,91,87,1.66,-14.41,-56.45
-0.91,44,48,3.47,45.63,85.18
24.0,47,51,5.1,18.09,-15.98
22.9,78,75,4.1,21.35,-158.09
26.76,66,34,0.64,-8.27,-72.74
25.79,10,37,3.79,12.39,-5.46
17.1,99,100,3.03,-41.17,146.35
23.71,97,100,1.86,-1.68,-50.48
21.69,39,40,8.2,37.46,-122.43
5.81,80,33,5.11,50.15,48.57
29.0,18,0,5.7,-25.24,130.99
27.81,74,100,0.91,-6.12,141.29
17.0,100,75,5.7,-39.81,-73.25
23.16,84,100,0.4,21.82,105.22
2.0,74,40,5.0,50.28,57.21
10.73,30,100,4.08,41.19,61.4
25.85,86,69,2.04,3.3,117.63
20.85,74,0,6.06,-23.1,26.81
22.44,65,12,5.6,25.12,62.33
2.83,35,100,3.64,41.12,80.26
20.69,51,60,3.49,4.05,38.3
-1.47,88,100,17.1,65.58,-171.0
-1.83,92,42,2.08,46.38,-75.97
18.0,39,90,12.9,26.73,33.94
28.0,65,0,3.1,17.33,42.67
26.45,75,97,1.06,0.8,127.4
27.24,77,13,7.96,5.4,125.46
17.26,81,34,1.6,-28.29,-49.93
6.9,87,90,5.1,41.14,-73.36
25.0,94,40,2.6,-9.24,-35.49
27.22,57,100,2.6,19.93,-105.25
-26.53,95,100,5.99,67.45,153.68
21.38,97,97,2.71,-12.82,-42.73
23.16,54,2,6.5,22.24,68.97
17.0,82,20,4.1,-19.38,47.42
-12.0,72,90,8.2,54.77,-101.86
-9.68,49,77,3.59,35.85,71.79
-3.93,90,100,6.35,64.89,-23.71
23.0,73,40,8.7,-20.22,-70.14
16.0,29,0,0.99,17.49,44.13
-5.32,27,31,3.67,39.82,109.98
0.0,67,98,3.1,62.23,-6.59
13.19,76,85,2.4,32.3,-9.24
-16.72,95,100,4.82,63.9,122.76
22.86,83,56,1.0,-24.79,-65.41
21.95,49,1,3.1,36.75,-95.98
9.2,57,1,8.2,46.19,-123.83
3.92,95,100,14.6,63.44,-20.27
24.5,79,46,7.58,-24.32,-47.0
25.53,94,48,1.68,4.42,-7.35
27.41,41,0,1.61,9.53,31.66
25.53,94,48,1.68,4.38,-7.72
20.03,99,90,0.38,3.33,20.88
12.76,50,75,2.1,35.53,-108.74
-30.61,87,94,1.28,67.8,130.41
8.59,81,99,11.13,52.32,36.3
-5.31,73,98,6.7,68.8,16.53
25.33,81,24,4.2,11.0,122.67
2.0,74,86,4.1,60.1,19.93
28.39,68,40,2.32,-16.37,-58.4
12.22,91,80,5.46,32.32,121.19
12.0,66,75,7.2,38.69,35.55
20.87,90,100,2.62,-11.55,20.78
18.51,73,27,2.46,26.92,94.73
-12.0,55,75,7.2,55.1,-105.28
-0.94,62,100,10.8,62.58,6.13
-5.68,92,90,12.9,70.86,29.09
2.68,44,90,5.7,41.87,-103.67
12.02,89,57,0.44,29.04,114.56
21.0,35,40,4.1,34.04,-5.0
23.95,88,40,2.1,-6.34,106.1
-14.79,95,98,4.88,49.28,120.73
